PMY,BMY
19645.64207,5111.603596
19145.59948,4981.497414
19672.88174,5118.691093
19532.79199,5082.241111
18863.47429,4908.091202
20653.51001,5373.84096
22093.32135,5748.465766
23531.18701,6122.584321
22840.4667,5942.865665
23340.50929,6072.971847
23990.37008,6242.059259
24039.01236,6254.715503
24111.00293,6273.446743
23632.36294,6148.909308
22620.60362,5885.659444
22533.04752,5862.878206
25085.79412,6527.077861
25048.82599,6517.459116
24655.79641,6415.196669
23970.91317,6236.996762
23270.46441,6054.746857
21957.12298,5713.028284
20978.44041,5458.384666
19929.71296,5185.516058
20163.19588,5246.266026
19616.45671,5104.00985
20385.00465,5303.978496
20495.90904,5332.834731
21048.48529,5476.609657
24290.0065,6320.021719
26303.79669,6843.990197
27566.55015,7172.546276
27638.54072,7191.277517
26998.40838,7024.721353
27897.31762,7258.608732
28554.96118,7429.721143
28757.31304,7482.371115
28169.71436,7329.483695
25949.68092,6751.852745
25070.22859,6523.027863
27181.30333,7072.308828
27021.75667,7030.79635
26031.39995,6773.115234
25611.13069,6663.76529
24280.27804,6317.49047
23058.38409,5999.565635
22212.00851,5779.347
21208.03195,5518.122135
20706.04367,5387.509703
20511.47457,5336.884729
21062.10512,5480.153405
21050.43098,5477.115906
21474.59161,5587.478349
24875.65949,6472.40289
26222.07767,6822.727708
27391.43796,7126.9838
27689.12868,7204.44001
27239.67406,7087.49632
28323.42395,7369.477424
28607.49484,7443.389886
28667.81126,7459.083628
28004.33063,7286.452467
26099.49913,6790.833974
24972.94404,6497.715377
27035.37651,7034.340098
26953.65748,7013.077609
25858.23345,6728.059007
25103.30534,6531.634109
23638.20001,6150.428057
22688.7028,5903.378185
21947.39453,5710.497035
21241.10869,5526.728381
20564.00822,5350.553472
20157.35881,5244.747277
20709.93505,5388.522202
20902.55846,5438.640926
21215.81471,5520.147134
24013.71838,6248.134256
25846.5593,6725.021509
27278.58788,7097.621315
27101.53,7051.552589
26508.09424,6897.146419
26868.04708,6990.802621
28214.46525,7341.127439
28356.5007,7378.08367
27768.90201,7225.196249
26064.47669,6781.721479
25292.03737,6580.740334
27019.81098,7030.2901
26724.06594,6953.34014
25895.20158,6737.677752
25772.62304,6705.784019
24801.72323,6453.1654
23369.69465,6080.565593
22453.27419,5842.121967
21591.33308,5617.853333
20873.37309,5431.04718
20799.43684,5411.80969
21188.57504,5513.059638
